,filename,is_santa
92,archive/is that santa/train/santa/64.Santa.jpg,0
93,archive/is that santa/train/not-a-santa/11.not-a-santa.jpg,1
94,archive/is that santa/train/not-a-santa/491.not-a-santa.jpg,1
95,archive/is that santa/train/santa/216.Santa.jpg,0
96,archive/is that santa/train/not-a-santa/180.not-a-santa.jpg,1
97,archive/is that santa/train/santa/211.Santa.jpg,0
98,archive/is that santa/train/santa/33.Santa.jpg,0
99,archive/is that santa/train/not-a-santa/251.not-a-santa.jpg,1
100,archive/is that santa/train/santa/206.Santa.jpg,0
101,archive/is that santa/train/not-a-santa/320.not-a-santa.jpg,1
102,archive/is that santa/train/not-a-santa/615.not-a-santa.jpg,1
103,archive/is that santa/train/not-a-santa/296.not-a-santa.jpg,1
104,archive/is that santa/train/not-a-santa/206.not-a-santa.jpg,1
105,archive/is that santa/train/santa/66.Santa.jpg,0
106,archive/is that santa/train/not-a-santa/77.not-a-santa.jpg,1
107,archive/is that santa/train/santa/77.Santa.jpg,0
108,archive/is that santa/train/santa/106.Santa.jpg,0
109,archive/is that santa/train/not-a-santa/193.not-a-santa.jpg,1
110,archive/is that santa/train/not-a-santa/343.not-a-santa.jpg,1
111,archive/is that santa/train/not-a-santa/608.not-a-santa.jpg,1
112,archive/is that santa/train/santa/454.Santa.jpg,0
113,archive/is that santa/train/not-a-santa/303.not-a-santa.jpg,1
114,archive/is that santa/train/not-a-santa/616.not-a-santa.jpg,1
115,archive/is that santa/train/not-a-santa/403.not-a-santa.jpg,1
116,archive/is that santa/train/not-a-santa/37.not-a-santa.jpg,1
117,archive/is that santa/train/santa/606.Santa.jpg,0
118,archive/is that santa/train/not-a-santa/20.not-a-santa.jpg,1
119,archive/is that santa/train/not-a-santa/156.not-a-santa.jpg,1
120,archive/is that santa/train/not-a-santa/409.not-a-santa.jpg,1
121,archive/is that santa/train/not-a-santa/183.not-a-santa.jpg,1
122,archive/is that santa/train/santa/464.Santa.jpg,0
123,archive/is that santa/train/not-a-santa/289.not-a-santa.jpg,1
124,archive/is that santa/train/santa/334.Santa.jpg,0
125,archive/is that santa/train/santa/65.Santa.jpg,0
126,archive/is that santa/train/not-a-santa/211.not-a-santa.jpg,1
127,archive/is that santa/train/not-a-santa/306.not-a-santa.jpg,1
128,archive/is that santa/train/santa/40.Santa.jpg,0
129,archive/is that santa/train/santa/249.Santa.jpg,0
130,archive/is that santa/train/santa/596.Santa.jpg,0
131,archive/is that santa/train/santa/446.Santa.jpg,0
132,archive/is that santa/train/not-a-santa/106.not-a-santa.jpg,1
133,archive/is that santa/train/santa/93.Santa.jpg,0
134,archive/is that santa/train/not-a-santa/288.not-a-santa.jpg,1
135,archive/is that santa/train/not-a-santa/329.not-a-santa.jpg,1
136,archive/is that santa/train/not-a-santa/99.not-a-santa.jpg,1
137,archive/is that santa/train/santa/230.Santa.jpg,0
138,archive/is that santa/train/santa/271.Santa.jpg,0
139,archive/is that santa/train/not-a-santa/317.not-a-santa.jpg,1
140,archive/is that santa/train/santa/213.Santa.jpg,0
141,archive/is that santa/train/santa/469.Santa.jpg,0
142,archive/is that santa/train/santa/514.Santa.jpg,0
143,archive/is that santa/train/santa/614.Santa.jpg,0
144,archive/is that santa/train/santa/53.Santa.jpg,0
145,archive/is that santa/train/santa/41.Santa.jpg,0
146,archive/is that santa/train/santa/567.Santa.jpg,0
147,archive/is that santa/train/santa/493.Santa.jpg,0
148,archive/is that santa/train/not-a-santa/124.not-a-santa.jpg,1
149,archive/is that santa/train/not-a-santa/220.not-a-santa.jpg,1
150,archive/is that santa/train/santa/254.Santa.jpg,0
151,archive/is that santa/train/santa/286.Santa.jpg,0
152,archive/is that santa/train/not-a-santa/536.not-a-santa.jpg,1
153,archive/is that santa/train/santa/84.Santa.jpg,0
154,archive/is that santa/train/not-a-santa/440.not-a-santa.jpg,1
155,archive/is that santa/train/not-a-santa/232.not-a-santa.jpg,1
156,archive/is that santa/train/santa/2.Santa.jpg,0
157,archive/is that santa/train/not-a-santa/32.not-a-santa.jpg,1
158,archive/is that santa/train/santa/97.Santa.jpg,0
159,archive/is that santa/train/santa/235.Santa.jpg,0
160,archive/is that santa/train/not-a-santa/228.not-a-santa.jpg,1
161,archive/is that santa/train/santa/409.Santa.jpg,0
162,archive/is that santa/train/santa/467.Santa.jpg,0
163,archive/is that santa/train/not-a-santa/5.not-a-santa.jpg,1
164,archive/is that santa/train/santa/294.Santa.jpg,0
165,archive/is that santa/train/not-a-santa/464.not-a-santa.jpg,1
166,archive/is that santa/train/not-a-santa/562.not-a-santa.jpg,1
167,archive/is that santa/train/not-a-santa/452.not-a-santa.jpg,1
168,archive/is that santa/train/not-a-santa/261.not-a-santa.jpg,1
169,archive/is that santa/train/santa/560.Santa.jpg,0
170,archive/is that santa/train/not-a-santa/455.not-a-santa.jpg,1
171,archive/is that santa/train/not-a-santa/563.not-a-santa.jpg,1
172,archive/is that santa/train/santa/153.Santa.jpg,0
173,archive/is that santa/train/not-a-santa/6.not-a-santa.jpg,1
174,archive/is that santa/train/santa/231.Santa.jpg,0
175,archive/is that santa/train/santa/178.Santa.jpg,0
176,archive/is that santa/train/santa/47.Santa.jpg,0
177,archive/is that santa/train/not-a-santa/85.not-a-santa.jpg,1
178,archive/is that santa/train/santa/379.Santa.jpg,0
179,archive/is that santa/train/not-a-santa/478.not-a-santa.jpg,1
180,archive/is that santa/train/santa/186.Santa.jpg,0
181,archive/is that santa/train/not-a-santa/457.not-a-santa.jpg,1
182,archive/is that santa/train/santa/57.Santa.jpg,0
183,archive/is that santa/train/not-a-santa/371.not-a-santa.jpg,1
184,archive/is that santa/train/not-a-santa/191.not-a-santa.jpg,1
185,archive/is that santa/train/santa/374.Santa.jpg,0
186,archive/is that santa/train/santa/244.Santa.jpg,0
187,archive/is that santa/train/not-a-santa/368.not-a-santa.jpg,1
188,archive/is that santa/train/santa/191.Santa.jpg,0
189,archive/is that santa/train/santa/406.Santa.jpg,0
190,archive/is that santa/train/not-a-santa/348.not-a-santa.jpg,1
191,archive/is that santa/train/not-a-santa/612.not-a-santa.jpg,1
192,archive/is that santa/train/santa/605.Santa.jpg,0
193,archive/is that santa/train/santa/92.Santa.jpg,0
194,archive/is that santa/train/santa/368.Santa.jpg,0
195,archive/is that santa/train/santa/76.Santa.jpg,0
196,archive/is that santa/train/not-a-santa/448.not-a-santa.jpg,1
197,archive/is that santa/train/santa/390.Santa.jpg,0
198,archive/is that santa/train/not-a-santa/175.not-a-santa.jpg,1
199,archive/is that santa/train/santa/475.Santa.jpg,0
200,archive/is that santa/train/santa/308.Santa.jpg,0
201,archive/is that santa/train/santa/36.Santa.jpg,0
202,archive/is that santa/train/santa/354.Santa.jpg,0
203,archive/is that santa/train/not-a-santa/154.not-a-santa.jpg,1
204,archive/is that santa/train/not-a-santa/551.not-a-santa.jpg,1
205,archive/is that santa/train/not-a-santa/341.not-a-santa.jpg,1
206,archive/is that santa/train/santa/399.Santa.jpg,0
207,archive/is that santa/train/not-a-santa/447.not-a-santa.jpg,1
208,archive/is that santa/train/not-a-santa/534.not-a-santa.jpg,1
209,archive/is that santa/train/santa/228.Santa.jpg,0
210,archive/is that santa/train/santa/51.Santa.jpg,0
211,archive/is that santa/train/santa/212.Santa.jpg,0
212,archive/is that santa/train/not-a-santa/149.not-a-santa.jpg,1
213,archive/is that santa/train/santa/130.Santa.jpg,0
214,archive/is that santa/train/not-a-santa/294.not-a-santa.jpg,1
215,archive/is that santa/train/santa/112.Santa.jpg,0
216,archive/is that santa/train/santa/349.Santa.jpg,0
217,archive/is that santa/train/not-a-santa/579.not-a-santa.jpg,1
218,archive/is that santa/train/santa/182.Santa.jpg,0
219,archive/is that santa/train/santa/410.Santa.jpg,0
220,archive/is that santa/train/not-a-santa/513.not-a-santa.jpg,1
221,archive/is that santa/train/not-a-santa/30.not-a-santa.jpg,1
222,archive/is that santa/train/santa/489.Santa.jpg,0
223,archive/is that santa/train/santa/317.Santa.jpg,0
224,archive/is that santa/train/santa/253.Santa.jpg,0
225,archive/is that santa/train/not-a-santa/305.not-a-santa.jpg,1
226,archive/is that santa/train/not-a-santa/614.not-a-santa.jpg,1
227,archive/is that santa/train/santa/508.Santa.jpg,0
228,archive/is that santa/train/santa/337.Santa.jpg,0
229,archive/is that santa/train/not-a-santa/358.not-a-santa.jpg,1
230,archive/is that santa/train/not-a-santa/506.not-a-santa.jpg,1
231,archive/is that santa/train/not-a-santa/607.not-a-santa.jpg,1
232,archive/is that santa/train/santa/551.Santa.jpg,0
233,archive/is that santa/train/santa/291.Santa.jpg,0
234,archive/is that santa/train/santa/240.Santa.jpg,0
235,archive/is that santa/train/santa/142.Santa.jpg,0
236,archive/is that santa/train/not-a-santa/355.not-a-santa.jpg,1
237,archive/is that santa/train/santa/267.Santa.jpg,0
238,archive/is that santa/train/not-a-santa/197.not-a-santa.jpg,1
239,archive/is that santa/train/santa/483.Santa.jpg,0
240,archive/is that santa/train/santa/159.Santa.jpg,0
241,archive/is that santa/train/santa/480.Santa.jpg,0
242,archive/is that santa/train/not-a-santa/392.not-a-santa.jpg,1
243,archive/is that santa/train/not-a-santa/10.not-a-santa.jpg,1
244,archive/is that santa/train/not-a-santa/446.not-a-santa.jpg,1
245,archive/is that santa/train/not-a-santa/267.not-a-santa.jpg,1
246,archive/is that santa/train/santa/328.Santa.jpg,0
247,archive/is that santa/train/not-a-santa/153.not-a-santa.jpg,1
248,archive/is that santa/train/not-a-santa/600.not-a-santa.jpg,1
249,archive/is that santa/train/not-a-santa/475.not-a-santa.jpg,1
250,archive/is that santa/train/not-a-santa/119.not-a-santa.jpg,1
251,archive/is that santa/train/not-a-santa/349.not-a-santa.jpg,1
252,archive/is that santa/train/not-a-santa/387.not-a-santa.jpg,1
253,archive/is that santa/train/not-a-santa/48.not-a-santa.jpg,1
254,archive/is that santa/train/not-a-santa/127.not-a-santa.jpg,1
255,archive/is that santa/train/santa/132.Santa.jpg,0
256,archive/is that santa/train/not-a-santa/399.not-a-santa.jpg,1
257,archive/is that santa/train/not-a-santa/186.not-a-santa.jpg,1
258,archive/is that santa/train/not-a-santa/493.not-a-santa.jpg,1
259,archive/is that santa/train/not-a-santa/94.not-a-santa.jpg,1
260,archive/is that santa/train/santa/484.Santa.jpg,0
261,archive/is that santa/train/not-a-santa/271.not-a-santa.jpg,1
262,archive/is that santa/train/not-a-santa/101.not-a-santa.jpg,1
263,archive/is that santa/train/santa/197.Santa.jpg,0
264,archive/is that santa/train/santa/542.Santa.jpg,0
265,archive/is that santa/train/not-a-santa/54.not-a-santa.jpg,1
266,archive/is that santa/train/santa/8.Santa.jpg,0
267,archive/is that santa/train/not-a-santa/591.not-a-santa.jpg,1
268,archive/is that santa/train/not-a-santa/168.not-a-santa.jpg,1
269,archive/is that santa/train/santa/127.Santa.jpg,0
270,archive/is that santa/train/santa/550.Santa.jpg,0
271,archive/is that santa/train/not-a-santa/511.not-a-santa.jpg,1
272,archive/is that santa/train/not-a-santa/8.not-a-santa.jpg,1
273,archive/is that santa/train/santa/175.Santa.jpg,0
274,archive/is that santa/train/not-a-santa/65.not-a-santa.jpg,1
275,archive/is that santa/train/santa/181.Santa.jpg,0
276,archive/is that santa/train/not-a-santa/573.not-a-santa.jpg,1
277,archive/is that santa/train/not-a-santa/88.not-a-santa.jpg,1
278,archive/is that santa/train/not-a-santa/59.not-a-santa.jpg,1
279,archive/is that santa/train/not-a-santa/184.not-a-santa.jpg,1
280,archive/is that santa/train/not-a-santa/177.not-a-santa.jpg,1
281,archive/is that santa/train/santa/613.Santa.jpg,0
282,archive/is that santa/train/santa/556.Santa.jpg,0
283,archive/is that santa/train/not-a-santa/280.not-a-santa.jpg,1
284,archive/is that santa/train/santa/266.Santa.jpg,0
285,archive/is that santa/train/santa/318.Santa.jpg,0
286,archive/is that santa/train/not-a-santa/36.not-a-santa.jpg,1
287,archive/is that santa/train/santa/535.Santa.jpg,0
288,archive/is that santa/train/santa/232.Santa.jpg,0
289,archive/is that santa/train/santa/37.Santa.jpg,0
290,archive/is that santa/train/not-a-santa/553.not-a-santa.jpg,1
291,archive/is that santa/train/not-a-santa/71.not-a-santa.jpg,1
292,archive/is that santa/train/not-a-santa/361.not-a-santa.jpg,1
293,archive/is that santa/train/not-a-santa/298.not-a-santa.jpg,1
294,archive/is that santa/train/not-a-santa/279.not-a-santa.jpg,1
295,archive/is that santa/train/not-a-santa/594.not-a-santa.jpg,1
296,archive/is that santa/train/not-a-santa/569.not-a-santa.jpg,1
297,archive/is that santa/train/santa/346.Santa.jpg,0
298,archive/is that santa/train/santa/415.Santa.jpg,0
299,archive/is that santa/train/not-a-santa/217.not-a-santa.jpg,1
300,archive/is that santa/train/not-a-santa/333.not-a-santa.jpg,1
301,archive/is that santa/train/not-a-santa/461.not-a-santa.jpg,1
302,archive/is that santa/train/santa/59.Santa.jpg,0
303,archive/is that santa/train/santa/68.Santa.jpg,0
304,archive/is that santa/train/not-a-santa/231.not-a-santa.jpg,1
305,archive/is that santa/train/not-a-santa/157.not-a-santa.jpg,1
306,archive/is that santa/train/santa/177.Santa.jpg,0
307,archive/is that santa/train/not-a-santa/479.not-a-santa.jpg,1
308,archive/is that santa/train/santa/353.Santa.jpg,0
309,archive/is that santa/train/santa/600.Santa.jpg,0
310,archive/is that santa/train/not-a-santa/213.not-a-santa.jpg,1
311,archive/is that santa/train/not-a-santa/383.not-a-santa.jpg,1
312,archive/is that santa/train/not-a-santa/566.not-a-santa.jpg,1
313,archive/is that santa/train/not-a-santa/38.not-a-santa.jpg,1
314,archive/is that santa/train/not-a-santa/277.not-a-santa.jpg,1
315,archive/is that santa/train/not-a-santa/174.not-a-santa.jpg,1
316,archive/is that santa/train/santa/610.Santa.jpg,0
317,archive/is that santa/train/santa/589.Santa.jpg,0
318,archive/is that santa/train/not-a-santa/307.not-a-santa.jpg,1
319,archive/is that santa/train/not-a-santa/286.not-a-santa.jpg,1
320,archive/is that santa/train/santa/533.Santa.jpg,0
321,archive/is that santa/train/not-a-santa/304.not-a-santa.jpg,1
322,archive/is that santa/train/not-a-santa/592.not-a-santa.jpg,1
323,archive/is that santa/train/not-a-santa/61.not-a-santa.jpg,1
324,archive/is that santa/train/not-a-santa/378.not-a-santa.jpg,1
325,archive/is that santa/train/santa/491.Santa.jpg,0
326,archive/is that santa/train/santa/4.Santa.jpg,0
327,archive/is that santa/train/not-a-santa/415.not-a-santa.jpg,1
328,archive/is that santa/train/not-a-santa/257.not-a-santa.jpg,1
329,archive/is that santa/train/santa/252.Santa.jpg,0
330,archive/is that santa/train/not-a-santa/205.not-a-santa.jpg,1
331,archive/is that santa/train/not-a-santa/299.not-a-santa.jpg,1
332,archive/is that santa/train/santa/367.Santa.jpg,0
333,archive/is that santa/train/not-a-santa/354.not-a-santa.jpg,1
334,archive/is that santa/train/not-a-santa/406.not-a-santa.jpg,1
335,archive/is that santa/train/santa/591.Santa.jpg,0
336,archive/is that santa/train/santa/69.Santa.jpg,0
337,archive/is that santa/train/not-a-santa/593.not-a-santa.jpg,1
338,archive/is that santa/train/not-a-santa/282.not-a-santa.jpg,1
339,archive/is that santa/train/santa/440.Santa.jpg,0
340,archive/is that santa/train/not-a-santa/346.not-a-santa.jpg,1
341,archive/is that santa/train/not-a-santa/308.not-a-santa.jpg,1
342,archive/is that santa/train/not-a-santa/254.not-a-santa.jpg,1
343,archive/is that santa/train/not-a-santa/539.not-a-santa.jpg,1
344,archive/is that santa/train/not-a-santa/55.not-a-santa.jpg,1
345,archive/is that santa/train/santa/292.Santa.jpg,0
346,archive/is that santa/train/not-a-santa/390.not-a-santa.jpg,1
347,archive/is that santa/train/not-a-santa/496.not-a-santa.jpg,1
348,archive/is that santa/train/santa/307.Santa.jpg,0
349,archive/is that santa/train/not-a-santa/487.not-a-santa.jpg,1
350,archive/is that santa/train/santa/362.Santa.jpg,0
351,archive/is that santa/train/not-a-santa/86.not-a-santa.jpg,1
352,archive/is that santa/train/not-a-santa/66.not-a-santa.jpg,1
353,archive/is that santa/train/santa/20.Santa.jpg,0
354,archive/is that santa/train/santa/447.Santa.jpg,0
355,archive/is that santa/train/not-a-santa/233.not-a-santa.jpg,1
356,archive/is that santa/train/santa/73.Santa.jpg,0
357,archive/is that santa/train/not-a-santa/517.not-a-santa.jpg,1
358,archive/is that santa/train/not-a-santa/450.not-a-santa.jpg,1
359,archive/is that santa/train/santa/448.Santa.jpg,0
360,archive/is that santa/train/santa/303.Santa.jpg,0
361,archive/is that santa/train/not-a-santa/332.not-a-santa.jpg,1
362,archive/is that santa/train/not-a-santa/542.not-a-santa.jpg,1
363,archive/is that santa/train/santa/154.Santa.jpg,0
364,archive/is that santa/train/not-a-santa/192.not-a-santa.jpg,1
365,archive/is that santa/train/santa/221.Santa.jpg,0
366,archive/is that santa/train/not-a-santa/159.not-a-santa.jpg,1
367,archive/is that santa/train/santa/465.Santa.jpg,0
368,archive/is that santa/train/santa/427.Santa.jpg,0
369,archive/is that santa/train/not-a-santa/454.not-a-santa.jpg,1
370,archive/is that santa/train/santa/387.Santa.jpg,0
371,archive/is that santa/train/not-a-santa/248.not-a-santa.jpg,1
372,archive/is that santa/train/santa/208.Santa.jpg,0
373,archive/is that santa/train/santa/88.Santa.jpg,0
374,archive/is that santa/train/santa/261.Santa.jpg,0
375,archive/is that santa/train/santa/333.Santa.jpg,0
376,archive/is that santa/train/santa/192.Santa.jpg,0
377,archive/is that santa/train/santa/577.Santa.jpg,0
378,archive/is that santa/train/santa/528.Santa.jpg,0
379,archive/is that santa/train/not-a-santa/204.not-a-santa.jpg,1
380,archive/is that santa/train/santa/384.Santa.jpg,0
381,archive/is that santa/train/santa/396.Santa.jpg,0
382,archive/is that santa/train/santa/414.Santa.jpg,0
383,archive/is that santa/train/not-a-santa/384.not-a-santa.jpg,1
384,archive/is that santa/train/not-a-santa/229.not-a-santa.jpg,1
385,archive/is that santa/train/not-a-santa/373.not-a-santa.jpg,1
386,archive/is that santa/train/not-a-santa/60.not-a-santa.jpg,1
387,archive/is that santa/train/not-a-santa/439.not-a-santa.jpg,1
388,archive/is that santa/train/santa/355.Santa.jpg,0
389,archive/is that santa/train/santa/380.Santa.jpg,0
390,archive/is that santa/train/santa/19.Santa.jpg,0
391,archive/is that santa/train/not-a-santa/274.not-a-santa.jpg,1
392,archive/is that santa/train/not-a-santa/198.not-a-santa.jpg,1
393,archive/is that santa/train/santa/547.Santa.jpg,0
394,archive/is that santa/train/santa/101.Santa.jpg,0
395,archive/is that santa/train/santa/238.Santa.jpg,0
396,archive/is that santa/train/not-a-santa/598.not-a-santa.jpg,1
397,archive/is that santa/train/not-a-santa/480.not-a-santa.jpg,1
398,archive/is that santa/train/santa/371.Santa.jpg,0
399,archive/is that santa/train/santa/450.Santa.jpg,0
400,archive/is that santa/train/not-a-santa/291.not-a-santa.jpg,1
401,archive/is that santa/train/santa/96.Santa.jpg,0
402,archive/is that santa/train/not-a-santa/12.not-a-santa.jpg,1
403,archive/is that santa/train/not-a-santa/49.not-a-santa.jpg,1
404,archive/is that santa/train/santa/559.Santa.jpg,0
405,archive/is that santa/train/santa/485.Santa.jpg,0
406,archive/is that santa/train/not-a-santa/126.not-a-santa.jpg,1
407,archive/is that santa/train/not-a-santa/417.not-a-santa.jpg,1
408,archive/is that santa/train/santa/332.Santa.jpg,0
409,archive/is that santa/train/not-a-santa/293.not-a-santa.jpg,1
410,archive/is that santa/train/not-a-santa/315.not-a-santa.jpg,1
411,archive/is that santa/train/santa/531.Santa.jpg,0
412,archive/is that santa/train/not-a-santa/318.not-a-santa.jpg,1
413,archive/is that santa/train/not-a-santa/238.not-a-santa.jpg,1
414,archive/is that santa/train/santa/481.Santa.jpg,0
415,archive/is that santa/train/not-a-santa/112.not-a-santa.jpg,1
416,archive/is that santa/train/not-a-santa/203.not-a-santa.jpg,1
417,archive/is that santa/train/not-a-santa/337.not-a-santa.jpg,1
418,archive/is that santa/train/santa/329.Santa.jpg,0
419,archive/is that santa/train/santa/378.Santa.jpg,0
420,archive/is that santa/train/not-a-santa/68.not-a-santa.jpg,1
421,archive/is that santa/train/not-a-santa/181.not-a-santa.jpg,1
422,archive/is that santa/train/santa/49.Santa.jpg,0
423,archive/is that santa/train/santa/222.Santa.jpg,0
424,archive/is that santa/train/not-a-santa/481.not-a-santa.jpg,1
425,archive/is that santa/train/santa/165.Santa.jpg,0
426,archive/is that santa/train/santa/32.Santa.jpg,0
427,archive/is that santa/train/not-a-santa/215.not-a-santa.jpg,1
428,archive/is that santa/train/santa/220.Santa.jpg,0
429,archive/is that santa/train/not-a-santa/504.not-a-santa.jpg,1
430,archive/is that santa/train/santa/361.Santa.jpg,0
431,archive/is that santa/train/not-a-santa/585.not-a-santa.jpg,1
432,archive/is that santa/train/not-a-santa/18.not-a-santa.jpg,1
433,archive/is that santa/train/not-a-santa/528.not-a-santa.jpg,1
434,archive/is that santa/train/santa/13.Santa.jpg,0
435,archive/is that santa/train/not-a-santa/334.not-a-santa.jpg,1
436,archive/is that santa/train/not-a-santa/555.not-a-santa.jpg,1
437,archive/is that santa/train/santa/350.Santa.jpg,0
438,archive/is that santa/train/santa/293.Santa.jpg,0
439,archive/is that santa/train/santa/336.Santa.jpg,0
440,archive/is that santa/train/not-a-santa/606.not-a-santa.jpg,1
441,archive/is that santa/train/santa/296.Santa.jpg,0
442,archive/is that santa/train/santa/543.Santa.jpg,0
443,archive/is that santa/train/santa/527.Santa.jpg,0
444,archive/is that santa/train/not-a-santa/216.not-a-santa.jpg,1
445,archive/is that santa/train/santa/102.Santa.jpg,0
446,archive/is that santa/train/santa/227.Santa.jpg,0
447,archive/is that santa/train/not-a-santa/51.not-a-santa.jpg,1
448,archive/is that santa/train/santa/22.Santa.jpg,0
449,archive/is that santa/train/santa/319.Santa.jpg,0
450,archive/is that santa/train/santa/172.Santa.jpg,0
451,archive/is that santa/train/santa/133.Santa.jpg,0
452,archive/is that santa/train/santa/163.Santa.jpg,0
453,archive/is that santa/train/not-a-santa/574.not-a-santa.jpg,1
454,archive/is that santa/train/not-a-santa/443.not-a-santa.jpg,1
455,archive/is that santa/train/not-a-santa/133.not-a-santa.jpg,1
456,archive/is that santa/train/not-a-santa/26.not-a-santa.jpg,1
